asset_id,date,name,end_date,ann_date,change_reason,source_id,available_at,decision_time
000883.SZ,20101223,湖北能源,,20101223,改名,tushare,20101223T16:00:00+08:00,20101223T09:00:00+08:00
600184.SH,20101213,光电股份,,20101208,改名,tushare,20101208T16:00:00+08:00,20101208T09:00:00+08:00
000561.SZ,20101208,烽火电子,,20101207,撤销*ST,tushare,20101207T16:00:00+08:00,20101207T09:00:00+08:00
000801.SZ,20101130,四川九洲,,20101130,改名,tushare,20101130T16:00:00+08:00,20101130T09:00:00+08:00
600824.SH,20101126,益民集团,,20101123,改名,tushare,20101123T16:00:00+08:00,20101123T09:00:00+08:00
600506.SH,20101111,ST香梨,20120823,20101110,摘星,tushare,20101110T16:00:00+08:00,20101110T09:00:00+08:00
000935.SZ,20101101,四川双马,,20101029,撤销ST,tushare,20101029T16:00:00+08:00,20101029T09:00:00+08:00
600157.SH,20101029,永泰能源,20200928,20101026,改名,tushare,20101026T16:00:00+08:00,20101026T09:00:00+08:00
002113.SZ,20101020,ST天润,20110427,20101019,ST,tushare,20101019T16:00:00+08:00,20101019T09:00:00+08:00
000738.SZ,20101015,中航动控,20170419,20101014,其他,tushare,20101014T16:00:00+08:00,20101014T09:00:00+08:00
000607.SZ,20101014,华智控股,20110418,20101014,改名,tushare,20101014T16:00:00+08:00,20101014T09:00:00+08:00
000818.SZ,20101013,*ST化工,20110929,20101013,改名,tushare,20101013T16:00:00+08:00,20101013T09:00:00+08:00
000732.SZ,20100930,ST三农,20110529,20100921,其他,tushare,20100921T16:00:00+08:00,20100921T09:00:00+08:00
002433.SZ,20100930,太安堂,20220927,20100930,改名,tushare,20100930T16:00:00+08:00,20100930T09:00:00+08:00
000557.SZ,20100930,*ST广夏,20160505,20100929,*ST,tushare,20100929T16:00:00+08:00,20100929T09:00:00+08:00
000519.SZ,20100929,江南红箭,20170109,20100929,改名,tushare,20100929T16:00:00+08:00,20100929T09:00:00+08:00
000796.SZ,20100927,易食股份,20151011,20100927,改名,tushare,20100927T16:00:00+08:00,20100927T09:00:00+08:00
600372.SH,20100921,ST昌河,20110602,20100913,恢复上市加N,tushare,20100913T16:00:00+08:00,20100913T09:00:00+08:00
600372.SH,20100920,NST昌河,20100920,20100913,其他,tushare,20100913T16:00:00+08:00,20100913T09:00:00+08:00
000507.SZ,20100916,珠海港,,20100916,改名,tushare,20100916T16:00:00+08:00,20100916T09:00:00+08:00
002059.SZ,20100916,云南旅游,,20100916,改名,tushare,20100916T16:00:00+08:00,20100916T09:00:00+08:00
000034.SZ,20100914,ST深泰,20110331,20100913,摘星,tushare,20100913T16:00:00+08:00,20100913T09:00:00+08:00
600728.SH,20100913,ST新太,20110807,20100910,摘星,tushare,20100910T16:00:00+08:00,20100910T09:00:00+08:00
600187.SH,20100826,国中水务,,20100825,撤销ST,tushare,20100825T16:00:00+08:00,20100825T09:00:00+08:00
002144.SZ,20100811,宏达高科,,20100811,改名,tushare,20100811T16:00:00+08:00,20100811T09:00:00+08:00
000750.SZ,20100806,SST集琦,20110808,20100805,摘星,tushare,20100805T16:00:00+08:00,20100805T09:00:00+08:00
600890.SH,20100719,ST中房,20120823,20100716,摘星,tushare,20100716T16:00:00+08:00,20100716T09:00:00+08:00
000598.SZ,20100714,兴蓉投资,20150629,20100714,改名,tushare,20100714T16:00:00+08:00,20100714T09:00:00+08:00
600892.SH,20100709,ST宝诚,20110227,20100706,改名,tushare,20100706T16:00:00+08:00,20100706T09:00:00+08:00
600340.SH,20100701,ST国祥,20111101,20100630,摘星,tushare,20100630T16:00:00+08:00,20100630T09:00:00+08:00
600701.SH,20100701,工大高新,20160424,20100630,撤销*ST,tushare,20100630T16:00:00+08:00,20100630T09:00:00+08:00
600130.SH,20100630,ST波导,20120716,20100629,摘星,tushare,20100629T16:00:00+08:00,20100629T09:00:00+08:00
600481.SH,20100629,双良节能,,20100623,改名,tushare,20100623T16:00:00+08:00,20100623T09:00:00+08:00
600104.SH,20120109,上汽集团,,20111230,其他,tushare,20111230T16:00:00+08:00,20111230T09:00:00+08:00
000028.SZ,20120104,国药一致,,20111231,改名,tushare,20111231T16:00:00+08:00,20111231T09:00:00+08:00
600077.SH,20111230,宋都股份,,20111226,改名,tushare,20111226T16:00:00+08:00,20111226T09:00:00+08:00
600449.SH,20111230,宁夏建材,,20111227,改名,tushare,20111227T16:00:00+08:00,20111227T09:00:00+08:00
600537.SH,20111230,亿晶光电,,20111228,改名,tushare,20111228T16:00:00+08:00,20111228T09:00:00+08:00
600637.SH,20111229,百视通,20150618,20111227,改名,tushare,20111227T16:00:00+08:00,20111227T09:00:00+08:00
600617.SH,20111222,ST联华,20130502,20111221,摘星,tushare,20111221T16:00:00+08:00,20111221T09:00:00+08:00
600084.SH,20111222,ST中葡,20120828,20111221,摘星,tushare,20111221T16:00:00+08:00,20111221T09:00:00+08:00
